Date Logged,Tool Name,Category,Positive Sources,Use Cases,Source Link
07/04/2026,Claude Code,"Writing, debugging, and explaining code, Automating multi-step tasks (Agentic workflows), Managing schedules and professional correspondence, Researching and synthesizing information, Generating and editing images, videos, and audio, UI/UX Design Generation, Drafting and refining written content",10,"AI coding tool.; read cursive from images, transcribe everything, and help build a family history website with original photos alongside transcriptions.; to convert MP4s to GIFs in bulk on your desktop; revealing a blueprint for how AI coding agents actually work and security reviews of your code and operating system for software work; letting Claude control your Mac remotely (keyboard, mouse, apps) while you're away and decide which actions are safe to run on its own",https://code.claude.com/docs/en/computer-use
07/04/2026,ChatGPT,"Drafting and refining written content, Brainstorming and creative ideation, Researching and synthesizing information, Writing, debugging, and explaining code, Translating languages and practicing conversation, Automating multi-step tasks (Agentic workflows), Summarizing documents and meeting transcripts, Analyzing and visualizing complex data, Generating and editing images, videos, and audio, Managing schedules and professional correspondence, UI/UX Design Generation, Video Editing Workflows",9.5,"access Voice Mode in their supported vehicle for hands-free use.; to analyze my best-selling products and recommendations for improvement, and recommendations on what to discontinue.; Used for writing code, producing website copy, generating ad images and videos, handling customer service, analyzing business performance, creating editable Canva designs, and as part of a ""super app"" that knows user's work and calendar.; combining ChatGPT, Codex, browsing, and agentic capabilities into one experience and builds and updates spreadsheets from natural language, analyzes data across tabs, and reviews results before you share; Create a content plan for a tech blog targeting AI beginners and Help me create a skill.",https://chatgpt.com/
07/04/2026,Claude,"Drafting and refining written content, Researching and synthesizing information, Writing, debugging, and explaining code, Brainstorming and creative ideation, Automating multi-step tasks (Agentic workflows), Managing schedules and professional correspondence, Analyzing and visualizing complex data, Generating and editing images, videos, and audio, Summarizing documents and meeting transcripts, Translating languages and practicing conversation, UI/UX Design Generation",9.5,"write the code; give me a daily outfit recommendation based on the local weather and the type of brands that fill 70% of my closet; help explain complex science concepts.; edit and refine my writing.; Feeding a PDF version of a full score to Claude and requesting such a simplification has resulted in quite acceptable pieces.; Used for writing code, producing website copy, generating ad images and videos, handling customer service, analyzing business performance, creating editable Canva designs, and packaging conversations into reusable skills.",https://www.anthropic.com/claude
07/04/2026,Gemini,"Researching and synthesizing information, Drafting and refining written content, Brainstorming and creative ideation, Automating multi-step tasks (Agentic workflows), Writing, debugging, and explaining code, Translating languages and practicing conversation, Generating and editing images, videos, and audio, Managing schedules and professional correspondence, Summarizing documents and meeting transcripts, Analyzing and visualizing complex data, UI/UX Design Generation",9,"help coach me through initial writing drafts.; A general AI model that can be used as a coding agent, has agentic features like Opal agent and Scheduled Actions, but a variant (Gemini 3 Flash) was observed to secretly disable shutdown mechanisms.; Create a content plan for a tech blog targeting AI beginners; memory and full chat history import from rival AI chatbots and portable snapshot of your AI relationship with any chatbot; help users avoid starting from scratch, allowing them to transfer information from another chatbot and carry on with more continuity.",https://gemini.google.com
07/04/2026,Gemma 4,"Researching and synthesizing information, Drafting and refining written content, Writing, debugging, and explaining code, Generating and editing images, videos, and audio, Automating multi-step tasks (Agentic workflows), Analyzing and visualizing complex data, Brainstorming and creative ideation, Translating languages and practicing conversation",8.5,"run Google’s newest AI model offline on your phone; A capable AI model that can run locally on devices like a MacBook Pro or Raspberry Pi, offering fast responses, vision capabilities, and high performance among open models.; fine-tune them, not for direct use; Fine-tuning by companies; Run Google’s newest AI model offline on your phone",https://deepmind.google/models/gemma/gemma-4/
07/04/2026,Slackbot,"Automating multi-step tasks (Agentic workflows), Managing schedules and professional correspondence, Researching and synthesizing information, Summarizing documents and meeting transcripts, Drafting and refining written content",8.5,"create reusable skills that can be used across teams, deliver structured post-meeting summaries, and remember context across your computer; Makes your entire workspace searchable (docs, convos, apps), Enhances every teammate with role-specific automations, Learns your project and preferences over time for even smarter outputs.; understands your context, finds what you need, and takes action instantly; drafting emails, scheduling meetings, and finding information in inboxes and create tasks Slackbot can repeat in different situations and transcribe meetings, summarise them, and highlight action items; Select anything on your screen, pass it to Slackbot, and it can answer based on the context from your Slack workspace.",https://slack.com/features/slackbot
07/04/2026,Claude Cowork,"Automating multi-step tasks (Agentic workflows), Managing schedules and professional correspondence, Researching and synthesizing information, Summarizing documents and meeting transcripts, Drafting and refining written content, Brainstorming and creative ideation",6,scan your calendar and identify repeatable processes that you can automate; give me an update on anything I might have missed and what's on my plate for the day.; scheduling automations.; Scan calendar and identify repeatable processes for automation; create in-depth research reports for any company.,https://claude.ai/
07/04/2026,ElevenLabs,"Generating and editing images, videos, and audio, Automating multi-step tasks (Agentic workflows), Managing schedules and professional correspondence, Translating languages and practicing conversation",6,handles customer service; customer service (via custom AI agents).; used AI voice tools for customer calls and made an AI clone of his own voice to handle personal scheduling.; customer calls; handle customer service,https://elevenlabs.io
07/04/2026,Gemini 3.1 Flash Live,"Translating languages and practicing conversation, Automating multi-step tasks (Agentic workflows), Researching and synthesizing information, Generating and editing images, videos, and audio, Drafting and refining written content, Brainstorming and creative ideation",6,"making audio AI more fluid and natural, allowing for 2X longer conversations, faster responses with fewer awkward pauses, and tone adjustment depending on context.; Google's low-latency voice AI for real-time agents; powering Search Live across 200+ countries and Point your phone camera at anything and talk about it in 90+ languages.; Takes in anything—text, images, audio and video to output text & audio natively.; Google's Gemini 3.1 Flash Live, designed for customer service automation, and Cohere's model focused on speech transcription.",https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-1-flash-live/
07/04/2026,Grok,"Writing, debugging, and explaining code, Drafting and refining written content, Generating and editing images, videos, and audio, Analyzing and visualizing complex data, Managing schedules and professional correspondence, Brainstorming and creative ideation, Automating multi-step tasks (Agentic workflows), Researching and synthesizing information",6,"write the code; write the code, produce website copy, generate ad images and videos, handle customer service, and analyze business performance.; to help me; write the code, produce website copy, generate ad images and videos, handle customer service, and analyze business performance; write the code that powers the company, produce website copy, generate media for ads, handle customer service, and analyze business performance.",https://x.ai/grok
07/04/2026,Lyria 3 Pro,"Generating and editing images, videos, and audio",6,"Google’s upgraded AI music model with longer track outputs; generate full three-minute tracks from a single text prompt.; create songs up to three minutes long, instead of being stuck at 30 seconds.; creates three-minute tracks with structural awareness of intros, verses, choruses, and bridges; structured 3-minute music generation",https://gemini.google/overview/music-generation/
07/04/2026,OpenClaw,"Automating multi-step tasks (Agentic workflows), Writing, debugging, and explaining code, Managing schedules and professional correspondence, Translating languages and practicing conversation, Generating and editing images, videos, and audio, Summarizing documents and meeting transcripts",6,"An AI agent framework described as ""one of the 10 most important software things, probably ever,"" built on modular components, capable of self-modification, and can be hosted in platforms like Slack for automating tasks.; running on a Commodore 64 and manages your calendar, triages your inbox, and files your expenses without being told each step; agentic usage through third-party harnesses; Agentic usage, running a company; expands agents with native video generation across multiple providers",https://openclaw.ai/
07/04/2026,Runway,"Generating and editing images, videos, and audio, Video Editing Workflows",6,generate ads; ad creatives.; generate ad images and videos.; generate ad images and videos; generate media for ads,https://runwayml.com
07/04/2026,Codex,"Writing, debugging, and explaining code, Automating multi-step tasks (Agentic workflows), Managing schedules and professional correspondence, Summarizing documents and meeting transcripts, Researching and synthesizing information, UI/UX Design Generation",5.5,"Used for rewriting code, building internal tools, synthesizing feedback from communication platforms, and is being merged into OpenAI's ""super app.""; rewritten the whole thing in Python and combining ChatGPT, Codex, browsing, and agentic capabilities into one experience; OpenAI rolls out pay-as-you-go pricing for Codex team usage.; OpenAI introduced pay-as-you-go pricing for Codex, allowing teams to scale usage based on tokens while lowering entry costs and simplifying cost tracking.; building reusable workflows via plugins that offer skills, app integrations, and MCP servers.",https://developers.openai.com/codex/plugins
07/04/2026,Cursor,"Writing, debugging, and explaining code, Automating multi-step tasks (Agentic workflows), Drafting and refining written content",5.5,"The new Agents Window runs parallel coding agents across repos, worktrees, and cloud VMs from one interface. Cursor is betting that managing a fleet of agents is the job now, not writing code line by line.; Cursor provides a better experience for reviewing code, allowing users to select diffs, ask for explanations or fixes, view results, and test directly from the browser.; run cloud agents inside your own infrastructure instead of Cursor-managed environments; walks you through agent best practices, context management, and full coding workflows from start to finish.; to write scripts and ship products",https://cursor.com
07/04/2026,Perplexity,"Automating multi-step tasks (Agentic workflows), Researching and synthesizing information, Analyzing and visualizing complex data, Drafting and refining written content",5.5,"doing your taxes; buy jeans by hunting for deals on preferred brands and checking stock for size.; to shop for you, find items in stock in your size, and save a ton of time.; to buy jeans for myself because I hate online shopping.; Tax modules draft federal returns on official IRS forms, review professionally prepared filings, and flag missed deductions in real time",https://Perplexity.ai
07/04/2026,Veo 3.1 Lite,"Generating and editing images, videos, and audio, Video Editing Workflows",5.5,"video generation for developers, allowing for generations of up to 8 seconds.; cost-effective AI video generation model now available through the Gemini API and Google AI Studio.; supports text-to-video and image-to-video in 720p or 1080p with customizable clip lengths; Veo 3.1 Lite targets high-volume applications with Text-to-Video and Image-to-Video support, 720p/1080p resolutions, and customizable durations.; AI video generation model",https://deepmind.google/models/veo/
07/04/2026,Hermes Agent,"Automating multi-step tasks (Agentic workflows), Generating and editing images, videos, and audio, Drafting and refining written content, Brainstorming and creative ideation, Managing schedules and professional correspondence",5,"runs autonomous tasks using tools, APIs, and stored context; self-improving AI agent with persistent memory, six terminal backends, and gateways for top messaging platforms.; wrote a novel; autonomously wrote, typeset, edited, and published a full-length 79k-word novel using an autoresearch-style modify-evaluate-keep/discard loop for fiction, world-building, adversarial editing, and cover art.; autonomously wrote, typeset, edited, and published a full-length 79k-word novel ""The Second Son of the House of Bells"" using an autoresearch-style modify-evaluate-keep/discard loop for fiction, world-building, adversarial editing, and cover art.",https://hermes-agent.nousresearch.com/
07/04/2026,Littlebird,"Researching and synthesizing information, Automating multi-step tasks (Agentic workflows), Summarizing documents and meeting transcripts, Managing schedules and professional correspondence",5,"observes your screen and meetings, building a private memory that grows with you.; quietly watches your screen and listens to your meetings, then it builds a living memory of your work as it happens.; keeping you from having to copy, paste, and catch up; Reads computer screen in real time, captures context across apps, and allows searching and asking questions about past work.; it builds a living memory of your work as it happens.",https://littlebird.ai/
07/04/2026,MAI-Transcribe-1,"Translating languages and practicing conversation, Summarizing documents and meeting transcripts, Generating and editing images, videos, and audio",5,"speech-to-text across 25 languages.; best transcription across 25 languages, beating Whisper and Gemini.; optimized for speech transcription; MAI-Transcribe-1 starts at $0.36 per hour, while MAI-Voice-1 and MAI-Image-2 are also priced competitively.; best transcription across 25 languages",https://learn.microsoft.com/en-us/azure/ai-services/speech-service/mai-transcribe
07/04/2026,Midjourney,"Generating and editing images, videos, and audio",5,ad creatives.; generate ad images and videos.; generate ads; generate ad images and videos; generate media for ads,https://www.midjourney.com
07/04/2026,Perplexity,"Researching and synthesizing information, Brainstorming and creative ideation, Automating multi-step tasks (Agentic workflows), Drafting and refining written content",5,"stress test any business idea.; to stress test any business idea.; When I tried to narrow down my search — same topic, more constraints — it didn’t “remember” the nuance the way ChatGPT or Perplexity would.; Perplexity brings Computer agent to Slack to automate work across tools.; Perplexity's internal AI assistant was used directly in Slack for research, document editing, reporting, and other collaborative workflows.",https://www.perplexity.ai/
